,0
0,Georgia
1,Kentucky
2,Wisconsin
3,Maryland
4,Delaware
5,Florida
6,Minnesota
7,Hawaii
8,Louisiana
9,California
10,Maine
11,New Mexico
12,Pennsylvania
13,Indiana
14,Missouri
15,New Hampshire
16,Vermont
17,Nebraska
18,Connecticut
19,Virginia
20,West Virginia
21,Massachusetts
22,Tennessee
23,Texas
24,Illinois
25,Montana
26,Alaska
27,New Jersey
28,Mississippi
29,Nevada
30,New York
31,Alabama
32,Wyoming
33,Colorado
34,Washington
35,Rhode Island
36,Oklahoma
37,Arkansas
38,North Dakota
39,Oregon
40,Iowa
41,Kansas
42,Idaho
43,North Carolina
44,South Carolina
45,South Dakota
46,Utah
47,Michigan
